1.0088495575221232, 0.8068702290076336, 0, mean
0.9999999999999996, 0.8587786259541985, 0, sd+
0.9999999999999996, 0.7541984732824427, 0, sd-
1.9999999999999996, 0.7656488549618321, 1, mean
1.9999999999999996, 0.8045801526717558, 1, sd+
2, 0.7274809160305342, 1, sd-
3, 0.6748091603053433, 2, mean
2.999999999999999, 0.7076335877862596, 2, sd+
3, 0.6427480916030537, 2, sd-
4.000000000000003, 0.6404580152671757, 3, mean
3.9999999999999982, 0.6770992366412214, 3, sd+
4.000000000000001, 0.6030534351145036, 3, sd-
5, 0.6061068702290074, 4, mean
5.000000000000001, 0.6480916030534352, 4, sd+
5.000000000000001, 0.5633587786259541, 4, sd-
5.999999999999999, 0.5679389312977099, 5, mean
5.991150442477876, 0.6290076335877863, 5, sd+
6, 0.5053435114503816, 5, sd-
